Player,Tm,G,Player-additional
Marcus Morris,LAC,54,morrima03
Markieff Morris,MIA,17,morrima02
Monte Morris,DEN,75,morrimo01
Emmanuel Mudiay,SAC,2,mudiaem01
Mychal Mulder,TOT,17,muldemy01
Ade Murkey,SAC,1,murkead01
Trey Murphy III,NOP,62,murphtr02
Dejounte Murray,SAS,68,murrade01
Mike Muscala,OKC,43,muscami01
Svi Mykhailiuk,TOR,56,mykhasv01
Abdel Nader,PHO,14,naderab01
Larry Nance Jr.,TOT,46,nancela02
RJ Nembhard Jr.,CLE,14,nembhrj01
Aaron Nesmith,BOS,52,nesmiaa01
Raul Neto,WAS,70,netora01
Malik Newman,CLE,1,newmama01
Georges Niang,PHI,76,niangge01
Daishen Nix,HOU,24,nixda01
Zeke Nnaji,DEN,41,nnajize01
Nerlens Noel,NYK,25,noelne01
Jaylen Nowell,MIN,62,nowelja01
Frank Ntilikina,DAL,58,ntilila01
Jusuf Nurkić,POR,56,nurkiju01
David Nwaba,HOU,46,nwabada01
Jordan Nwora,MIL,62,nworajo01
Royce O'Neale,UTA,77,onealro01
Semi Ojeleye,TOT,30,ojelese01
Chuma Okeke,ORL,70,okekech01
Josh Okogie,MIN,49,okogijo01
Onyeka Okongwu,ATL,48,okongon01
Isaac Okoro,CLE,67,okorois01
KZ Okpala,MIA,21,okpalkz01
Victor Oladipo,MIA,8,oladivi01
Cameron Oliver,ATL,2,oliveca01
Kelly Olynyk,DET,40,olynyke01
Eugene Omoruyi,DAL,4,omorueu01
Miye Oni,UTA,16,onimi01
Cedi Osman,CLE,66,osmande01
Daniel Oturu,TOR,3,oturuda01
Kelly Oubre Jr.,CHO,76,oubreke01
Jaysean Paige,DET,1,paigeja01
Trayvon Palmer,DET,1,palmetr01
Kevin Pangos,CLE,24,pangoke01
Jabari Parker,BOS,12,parkeja01
Eric Paschall,UTA,58,pascher01
Chris Paul,PHO,65,paulch01
Cameron Payne,PHO,58,payneca01
Elfrid Payton,PHO,50,paytoel01
Gary Payton II,GSW,71,paytoga02
Norvel Pelle,UTA,3,pelleno01
Reggie Perry,TOT,10,perryre01
Jamorko Pickett,DET,13,pickeja01
Theo Pinson,DAL,19,pinsoth01
Mason Plumlee,CHO,73,plumlma01
Jakob Poeltl,SAS,68,poeltja01
Aleksej Pokusevski,OKC,61,pokusal01
Yves Pons,MEM,12,ponsyv01
Jordan Poole,GSW,76,poolejo01
Kevin Porter Jr.,HOU,61,porteke02
Michael Porter Jr.,DEN,9,portemi01
Otto Porter Jr.,GSW,63,porteot01
Bobby Portis,MIL,72,portibo01
Kristaps Porziņģis,TOT,51,porzikr01
Micah Potter,DET,3,pottemi01
Dwight Powell,DAL,82,poweldw01
Myles Powell,PHI,11,powelmy01
Norman Powell,TOT,45,powelno01
Joshua Primo,SAS,50,primojo01
Taurean Prince,MIN,69,princta02
Payton Pritchard,BOS,71,pritcpa01
Trevelin Queen,HOU,10,queentr01
Neemias Queta,SAC,15,quetane01
Immanuel Quickley,NYK,78,quickim01
Jahmi'us Ramsey,SAC,19,ramseja01
Julius Randle,NYK,72,randlju01
Austin Reaves,LAL,61,reaveau01
Cam Reddish,TOT,49,reddica01
Davon Reed,DEN,48,reedda01
Paul Reed,PHI,38,reedpa01
Naz Reid,MIN,77,reidna01
Nick Richards,CHO,50,richani01
Josh Richardson,TOT,65,richajo01
Austin Rivers,DEN,67,riverau01
Duncan Robinson,MIA,79,robindu01
Justin Robinson,TOT,25,robinju01
